molregno,molecular_complexity,mean_standard_value
230485,3.25,16000.0
230554,3.03,19700.0
230770,3.1,7000.0
230798,3.94,4750.0
230879,3.23,18850.0
230880,2.94,38000.0
230881,3.57,30000.0
230882,3.56,24000.0
230885,3.37,96000.0
231006,6.36,9700.0
231816,6.23,4.3
232150,4.9,2.55
232152,5.01,4.1
232173,6.77,2.3
235198,2.39,845.0
236195,5.4,4120.0
236196,3.7,27.0
236432,3.57,4940.0
238680,5.11,148.0
238686,5.39,4900.0
238711,5.18,13100.0
238714,5.01,8.8
239109,5.46,7300.0
239110,5.18,41500.0
239111,4.81,3.9
239112,5.14,17700.0
239152,5.1,10200.0
239180,4.86,83.0
239183,5.24,8500.0
239185,4.95,18.3
239650,5.0,6.5
239651,5.13,4300.0
240314,2.16,45000.0
240363,3.83,10300.0
240473,3.86,61000.0
240733,4.38,868.0
240816,3.61,2095.0
241543,4.11,7.0
241552,6.41,9500.0
241584,6.62,4000.0
241778,6.82,5400.0
241802,6.62,6200.0
241806,3.85,12000.0
241853,7.06,180.0
241925,6.57,4700.0
241991,6.57,2400.0
242030,3.75,11.5
242075,6.51,6000.0
242191,4.01,50.0
242546,6.42,5300.0
244410,4.2,990.0
244674,3.7,1335.0
247805,4.69,16900.0
250874,5.05,20000.0
250940,5.97,1200.0
251003,5.49,3200.0
251032,4.19,4600.0
251104,7.67,6600.0
251112,5.07,20000.0
251181,4.12,4000.0
251202,4.52,20000.0
251255,0.74,10400.0
251292,1.66,5011.87
251427,5.49,8000.0
251454,5.02,6200.0
251862,4.81,64000.0
251928,4.6,28900.0
252396,6.13,21500.0
252540,4.86,27100.0
252548,4.28,15400.0
252839,5.96,1250.0
253667,5.24,318.0
253690,4.95,18.8
253691,5.05,9.7
253692,4.79,58.0
253697,4.84,36.1
253698,5.52,80.6
253700,5.62,20.1
253701,4.92,24.8
253704,5.65,16.7
253706,5.96,430.0
253716,5.57,82.0
253733,5.61,112.1
253756,5.57,67.4
253802,5.66,416.0
253805,5.97,12.2
253818,5.52,11.4
253826,5.01,2.2
253849,5.81,19.8
253851,6.31,215.0
253852,5.31,16.5
253856,5.94,40.1
253857,5.83,26.2
253858,6.02,45.5
253893,5.62,48.9
253896,6.51,142.1
253905,4.98,7.5
253931,5.94,20.8
253932,5.98,38.2
253936,5.65,360.0
253979,5.64,16.0
254016,5.78,390.0
254044,6.06,9.6
254059,4.93,5.0
254077,5.89,62.8
254079,5.71,54.4
254190,5.27,34.7
254191,5.34,289.2
254230,5.47,215.9
254237,5.84,155.0
254517,5.62,26.6
254520,5.21,149.0
254545,5.27,163.2
254565,2.94,47000.0
254579,5.0,396.0
254589,5.27,43.0
254653,5.13,276.7
254654,5.04,10.2
254657,6.5,46.1
254658,6.51,260.5
